time,model,n_feat,ngram_range,max_df,min_df,max_features,sublinear,type,lr,n_leaf,n_depth,min_data,feat_frac,bagging_frac,bagging_freq,l1,l2,min_gain,hessian,train_size,best_iter,loss_train,loss_val,acc_train,acc_val,f1_train,f1_val
2018-07-19 02:45:28,lgb-tfidf-1,190239,1|2,0.900000,3,None,True,gbdt,0.0500,31,5,1024,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,1586,1.86109,2.25217,0.44,0.32,0.42413,0.29272
2018-07-19 02:46:05,lgb-tfidf-2,190239,1|2,0.900000,3,None,True,gbdt,0.0500,63,6,1024,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,1586,1.86109,2.25217,0.44,0.32,0.42413,0.29272
2018-07-19 02:46:43,lgb-tfidf-3,190239,1|2,0.900000,3,None,True,gbdt,0.0500,127,7,1024,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,1586,1.86109,2.25217,0.44,0.32,0.42413,0.29272
2018-07-19 04:40:43,lgb-tfidf-1,2820641,1|2,0.900000,3,None,True,gbdt,0.0500,31,5,1024,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,3308,0.43945,0.91586,0.90,0.73,0.89517,0.72847
2018-07-19 12:25:07,lgb-tfidf-1,100000,1|2,0.900000,3,100000,True,gbdt,0.1000,30,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,872,0.26067,0.84195,0.95,0.75,0.95473,0.74996
2018-07-19 14:08:57,lgb-tfidf-2,150000,1|2,0.900000,3,150000,True,gbdt,0.1000,50,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,873,0.23028,0.84112,0.96,0.75,0.96301,0.74969
2018-07-19 15:46:17,lgb-tfidf-3,200000,1|2,0.900000,3,200000,True,gbdt,0.1000,70,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,775,0.25995,0.84227,0.96,0.75,0.95512,0.74686
2018-07-19 16:09:34,lgb-tfidf-4,150000,1|2,0.900000,3,150000,True,gbdt,0.5000,40,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,141,0.29802,0.88476,0.94,0.74,0.94129,0.73748
