time,model,n_feat,type,lr,n_leaf,n_depth,min_data,feat_frac,bagging_frac,bagging_freq,l1,l2,min_gain,hessian,train_size,best_iter,loss_train,loss_val,acc_train,acc_val,f1_train,f1_val
2018-07-22 09:41:44,lgb-tfidf-embedding-1,200600,gbdt,0.0500,33,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,926,0.18927,0.74785,0.98,0.78,0.97727,0.77664
2018-07-22 11:46:11,lgb-tfidf-embedding-2,200600,gbdt,0.0500,53,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,916,0.13686,0.74756,0.99,0.78,0.99139,0.77685
2018-07-22 13:58:18,lgb-tfidf-embedding-3,200600,gbdt,0.0500,73,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,889,0.12725,0.74766,0.99,0.78,0.99310,0.77736
2018-07-22 16:20:34,lgb-tfidf-embedding-4,200600,gbdt,0.0500,93,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,864,0.13008,0.74696,0.99,0.78,0.99256,0.77696
2018-07-22 22:14:38,lgb-tfidf-embedding-1,200600,gbdt,0.1000,73,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,441,0.12928,0.75509,0.99,0.78,0.99280,0.77571
2018-07-23 09:01:47,lgb-tfidf-embedding-2,200600,gbdt,0.0100,73,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,4395,0.12905,0.74376,0.99,0.78,0.99285,0.77812
2018-07-23 12:06:11,lgb-tfidf-embedding-1,100600,gbdt,0.0500,73,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,875,0.13030,0.74768,0.99,0.78,0.99255,0.77763
2018-07-23 16:54:34,lgb-tfidf-embedding-1,100600,gbdt,0.0500,73,10,300,0.7000,0.8000,1,0.0000e+00,5.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2099,0.14755,0.74783,0.99,0.78,0.98923,0.77753
2018-07-23 23:17:20,lgb-tfidf-embedding-1,20600,gbdt,0.0500,73,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,890,0.12686,0.74845,0.99,0.78,0.99320,0.77667
2018-07-24 01:50:47,lgb-tfidf-embedding-1,500600,gbdt,0.0500,73,10,300,0.7000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,886,0.12784,0.74838,0.99,0.78,0.99288,0.77792
