time,model,n_feat,type,lr,n_leaf,n_depth,min_data,feat_frac,bagging_frac,bagging_freq,l1,l2,min_gain,hessian,train_size,best_iter,loss_train,loss_val,acc_train,acc_val,f1_train,f1_val
2018-7-16 17:10,LightGBM_baseline_demo,300,gbdt,0.1,65,6,64,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,99,0.11406,1.27694,1,0.62,1,0.61334
2018-07-16 23:42:43,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.9000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2025,0.21391,0.91628,0.98,0.73,0.97757,0.72838
2018-07-16 23:58:54,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.9000,1,2.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2067,0.22464,0.91568,0.97,0.73,0.97489,0.72827
2018-07-17 00:16:19,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.9000,1,5.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2353,0.21905,0.91627,0.98,0.73,0.97684,0.72661
2018-07-17 00:36:10,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.9000,1,1.0000e+01,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2655,0.24865,0.91936,0.97,0.73,0.96766,0.72815
2018-07-17 00:50:57,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.6000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2079,0.25327,0.91318,0.97,0.73,0.96530,0.72838
2018-07-17 01:11:12,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.7000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2101,0.22681,0.91349,0.97,0.73,0.97360,0.72830
2018-07-17 01:31:20,lgb-300d-sum,300,gbdt,0.0500,33,5,512,0.6000,0.8000,1,0.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2129,0.20719,0.91387,0.98,0.73,0.97926,0.72915
2018-07-17 01:51:02,lgb-300d-sum,300,gbdt,0.0500,65,5,512,0.6000,0.7000,1,2.0000e+00,1.0000e+02,0.0000e+00,1.0000e-01,8.0000e-01,2273,0.22550,0.91367,0.97,0.73,0.97457,0.72818
