min_df,acc_train,acc_val,f1_train,f1_val
3,0.9904058860194815,0.782411028549081,0.990400160626241,0.7813358632876594
5,0.9904303296219796,0.7825087993742668,0.9904246112857733,0.7814542502395737
10,0.9904547732244778,0.7823621431364881,0.9904486900573023,0.7812671581087415
20,0.9905158822307232,0.7825087993742668,0.9905101293142476,0.7814374021271898
